Frame,FPS_Pipeline,FPS_Detection_Recognition
163,4443.118644067797,0
164,3214.026053639847,0
165,1862.4795737122558,0
166,1890.1775574583146,0
167,1884.2336028751124,0
168,1761.572448551029,0
169,3945.7234242709314,0
170,143.5766268442132,149.78587243768303
171,3754.9722470904208,0
172,3097.7134416543577,0
173,1878.3269144648455,0
174,1433.9500854700855,0
175,1890.1775574583146,0
176,1863.3069746779208,0
177,1899.5942028985507,0
178,1782.534636634084,0
179,1916.0822293284605,0
180,86.70395865633076,90.90976873225394
181,2845.5251017639075,0
182,5127.511002444988,0
183,3194.4432597105865,0
184,3079.518355359765,0
185,1202.8402638371092,0
186,1630.1220365332297,0
187,1365.3333333333333,0
188,1830.7743343518114,0
189,1653.9053627760252,0
190,117.47434461124804,125.3752615531775
191,3554.494915254237,0
192,4284.273748723187,0
193,4443.118644067797,0
194,1596.0060882800608,0
195,1632.0249027237355,0
196,1789.3788395904437,0
197,1857.5305580159434,0
198,1851.7898454746137,0
199,1897.0167345092718,0
200,75.14519134298409,79.33240022697181
201,3785.4729241877258,0
202,3146.5146286571644,0
203,3243.8546017014696,0
204,4284.273748723187,0
205,3201.758778625954,0
206,1800.90339201374,0
207,1830.7743343518114,0
208,1839.6070175438597,0
209,1878.3269144648455,0
210,80.12195075359605,83.9011822127983
211,3785.4729241877258,0
212,4328.487100103199,0
213,4136.394477317554,0
214,2410.519540229885,0
215,1850.972639011474,0
216,1842.0307422046553,0
217,1892.7364620938629,0
218,1804.0017204301075,0
219,1503.3347670250896,0
220,71.73061070921622,74.9920257464688
221,3799.1884057971015,0
222,4068.1901066925316,0
223,1795.5068493150684,0
224,1601.4906452844598,0
225,1873.293434569004,0
226,1810.2304704359085,0
227,1357.8193590158628,0
228,1829.975567190227,0
229,1779.5095460330929,0
230,69.97504170837504,73.19519047868349
231,3758.336917562724,0
232,3008.826398852224,0
233,1549.428888067972,0
234,1763.0533837746952,0
235,1774.9911129919594,0
236,1869.9527418635755,0
237,1880.0107575078441,0
238,1349.0845931167578,0
239,1828.3801220575415,0
240,96.39419010847583,101.63820970751448
241,2868.8809849521203,0
242,2573.19263803681,0
243,2555.94393662401,0
244,3816.4731574158327,0
245,1791.6719350704827,0
246,1861.652907234798,0
247,1763.7947855340622,0
248,1814.9303331890956,0
249,1880.8538116591928,0
250,106.6764331858182,115.45332929615459
251,2785.062416998672,0
252,3551.485182049111,0
253,3382.5032258064516,0
254,1814.1453287197232,0
255,1829.975567190227,0
256,1833.9763882815917,0
257,1863.3069746779208,0
258,1797.0454155955442,0
259,1897.875113122172,0
260,109.24373600041673,116.39205239205239
261,3109.1949592290584,0
262,3463.5045417010733,0
263,3474.9826014913006,0
264,3983.1946818613487,0
265,1804.0017204301075,0
266,4206.924774322969,0
267,4198.5025025025025,0
268,4181.758723828514,0
269,4194.304,0
270,116.54405512795576,120.4152503445108
271,4092.0039024390244,0
272,5115.0048780487805,0
273,1340.0332268370607,0
274,1872.4571428571428,0
275,1882.5421903052065,0
276,1842.8400702987697,0
277,1896.1591320072332,0
278,1812.5773552290407,0
279,1733.1834710743801,0
280,98.47864572327487,104.12352911970608
281,1798.5866209262435,0
282,3281.928012519562,0
283,5159.045510455105,0
284,3858.6053357865685,0
285,1832.3739624290083,0
286,1345.6220725056144,0
287,1635.8439937597504,0
288,3151.2426746806914,0
289,3160.7415222305954,0
290,77.73707719395793,81.23615657260173
291,2654.6227848101266,0
292,3006.669534050179,0
293,1842.0307422046553,0
294,1336.19114367633,0
295,1867.4550311665182,0
296,1874.130473637176,0
297,1340.8900255754477,0
298,1350.822544283414,0
299,1655.8641926569285,0
300,129.533786287832,135.1911039484287
301,2818.7526881720432,0
302,3013.1494252873563,0
303,2753.975049244911,0
304,1416.9945945945947,0
305,1844.4608619173264,0
306,1809.4495254529768,0
307,1700.1637616538305,0
308,1837.9947414548642,0
309,1312.7712050078246,0
310,134.20484433494386,140.03886347701246
311,3034.9522431259043,0
312,2657.9873257287704,0
313,1884.2336028751124,0
314,1431.503071672355,0
315,1661.7686212361332,0
316,1794.7385537013265,0
317,4262.504065040651,0
318,4048.5559845559847,0
319,4258.176649746193,0
320,85.67322344097882,89.85034596516785
321,3004.515759312321,0
322,3196.878048780488,0
323,3192.0121765601216,0
324,2425.8554077501444,0
325,1884.2336028751124,0
326,1809.4495254529768,0
327,1764.5368111064367,0
328,1742.5442459493145,0
329,1862.4795737122558,0
330,108.61289069580755,115.93520924318646
331,2830.1646423751686,0
332,2998.072909220872,0
333,3300.0031471282455,0
334,2317.2950276243096,0
335,1733.8999586606035,0
336,1680.4102564102564,0
337,1829.975567190227,0
338,1811.794384449244,0
339,1863.3069746779208,0
340,109.24942696395082,116.10530103806228
341,2244.143392188336,0
342,4017.532567049808,0
343,3606.452278589854,0
344,1718.9770491803279,0
345,1307.0439389217825,0
346,1213.9808972503617,0
347,1624.4399690162666,0
348,1793.9709153122326,0
349,1767.511167298778,0
350,101.70721889473556,110.45199346921578
351,3708.491600353669,0
352,2953.735211267606,0
353,3307.8107255520504,0
354,3328.8126984126984,0
355,1828.3801220575415,0
356,1733.8999586606035,0
357,1353.8747579083279,0
358,1354.3119147562156,0
359,1864.1351111111112,0
360,4.214495648652695,4.2424601653367375
361,1069.9755102040817,0
362,846.4791120080727,0
363,1365.3333333333333,0
364,1314.0050125313282,0
365,1183.494356659142,0
366,836.8523543495611,0
367,666.8209856915739,0
368,1803.226139294927,0
369,910.2222222222222,0
370,61.71542921044113,64.21163502755664
371,1150.0696462846174,0
372,1590.5589685248387,0
373,1088.0166018158236,0
374,1757.1445328864684,0
375,651.1883247942866,0
376,1283.8396082032446,0
377,1823.6104347826088,0
378,1551.1479289940828,0
379,677.9220947147244,0
380,117.01224717533826,125.79641293263751
381,1168.6553357481193,0
382,1127.1980650362805,0
383,939.3737961926092,0
384,1151.9648448228509,0
385,695.6881738265052,0
386,488.3343811852369,0
387,702.6811861283297,0
388,1388.8423841059603,0
389,1667.052464228935,0
390,79.84435856922579,86.31143121720342
391,1029.277055214724,0
392,1249.048243001787,0
393,1266.778616732105,0
394,450.1292122773127,0
395,715.0194340265939,0
396,1243.8623962040333,0
397,1661.7686212361332,0
398,709.8162125571163,0
399,636.2718446601941,0
400,130.24170910445906,139.97343567495412
401,1193.9379447765443,0
402,1223.185768445611,0
403,658.1365134159737,0
404,994.3821716453295,0
405,988.9893892949776,0
406,919.1987727372343,0
