iteration,train_loss,valid_loss,accuracy,norm_ED
790,0.09528,0.18223,83.195,0.97
795,0.0526,0.17757,83.361,0.97
800,0.03465,0.17195,83.361,0.97
805,0.06269,0.16583,84.193,0.97
810,0.11231,0.18426,81.032,0.97
815,0.05867,0.17746,82.363,0.97
820,0.24963,0.17966,83.028,0.97
825,0.08309,0.17634,83.028,0.97
830,0.04243,0.17008,83.028,0.97
835,0.08985,0.17619,80.865,0.97
840,0.08112,0.18759,81.864,0.97
845,0.11003,0.1751,83.195,0.97
850,0.1007,0.18488,82.03,0.97
855,0.08577,0.30288,78.369,0.96
860,0.12623,0.19116,78.536,0.96
865,0.12532,0.19031,81.697,0.97
870,0.05609,0.16364,82.363,0.97
875,0.08862,0.18451,78.869,0.96
880,0.0632,0.16427,83.527,0.97
885,0.06182,0.17564,83.361,0.97
890,0.10224,0.17903,83.195,0.97
895,0.09548,0.17737,82.529,0.97
900,0.03755,0.16679,83.361,0.97
905,0.17988,0.1844,81.864,0.97
910,0.0831,0.23054,79.035,0.96
915,0.04561,0.18496,82.363,0.97
920,0.04505,0.18046,83.195,0.97
925,0.03616,0.21197,79.7,0.96
930,0.02046,0.18705,83.195,0.97
935,0.0397,0.18977,83.694,0.97
940,0.03703,0.17139,83.527,0.97
945,0.049,0.18021,82.696,0.97
950,0.02106,0.18505,82.196,0.97
955,0.07933,0.17998,84.027,0.97
960,0.04753,0.17452,83.86,0.97
965,0.06536,0.1817,84.692,0.97
970,0.02686,0.19727,81.697,0.96
975,0.05633,0.18241,82.363,0.97
980,0.04138,0.18039,84.359,0.97
985,0.04788,0.18492,82.529,0.97
990,0.02876,0.19072,82.03,0.97
995,0.02809,0.18045,82.529,0.97
1000,0.03279,0.18445,81.531,0.97
1005,0.07552,0.1905,83.361,0.97
1010,0.07017,0.20481,83.028,0.97
1015,0.09454,0.20235,83.361,0.97
1020,0.03181,0.2126,83.694,0.97
1025,0.10312,0.21388,80.699,0.96
1030,0.08044,0.19599,81.364,0.97
1035,0.07987,0.1924,82.696,0.97
1040,0.04542,0.17162,84.193,0.97
1045,0.02806,0.1873,82.363,0.97
1050,0.06284,0.19169,81.864,0.97
1055,0.06289,0.17352,83.527,0.97
1060,0.10966,0.16544,83.694,0.97
1065,0.07085,0.19096,81.364,0.96
1070,0.04219,0.16892,84.526,0.97
1075,0.03814,0.16248,85.191,0.97
1080,0.04417,0.16075,86.522,0.98
1085,0.06222,0.17943,83.361,0.97
1090,0.09027,0.17218,82.03,0.97
1095,0.03381,0.17526,82.696,0.97
1100,0.07409,0.1723,84.526,0.97
1105,0.04489,0.17138,84.526,0.97
1110,0.03718,0.19207,82.03,0.97
1115,0.02436,0.18633,83.028,0.97
1120,0.11954,0.18219,83.527,0.97
1125,0.03387,0.18237,83.527,0.97
1130,0.05157,0.18008,83.195,0.97
1135,0.11852,0.16022,84.859,0.97
1140,0.06057,0.16501,83.361,0.97
1145,0.042,0.1651,85.025,0.97
1150,0.03532,0.16092,86.023,0.97
1155,0.15244,0.1686,84.193,0.97
1160,0.05015,0.17155,83.361,0.97
1165,0.04866,0.17759,82.862,0.97
1170,0.05414,0.19272,82.03,0.97
1175,0.06786,0.17838,82.196,0.97
1180,0.05447,0.16615,83.527,0.97
1185,0.04753,0.16929,82.696,0.97
1190,0.04578,0.16738,83.361,0.97
1195,0.16763,0.17488,81.531,0.97
1200,0.08002,0.17151,84.859,0.97
1205,0.08444,0.21331,82.696,0.97
1210,0.03126,0.175,82.862,0.97
1215,0.03281,0.16947,84.359,0.97
1220,0.03727,0.17661,84.359,0.97
1225,0.03252,0.18552,83.86,0.97
1230,0.09507,0.22188,79.368,0.96
1235,0.07209,0.19936,80.532,0.97
1240,0.07109,0.19075,82.862,0.97
1245,0.06188,0.19548,82.696,0.97
1250,0.07017,0.18224,81.864,0.97
1255,0.01787,0.18017,83.694,0.97
1260,0.04489,0.1788,84.027,0.97
1265,0.02317,0.18033,83.86,0.97
1270,0.03182,0.19878,83.028,0.97
1275,0.07298,0.1739,83.86,0.97
1280,0.03508,0.19639,82.363,0.97
1285,0.05071,0.1824,84.526,0.97
1290,0.04506,0.18128,84.359,0.97
1295,0.03534,0.18681,84.193,0.97
1300,0.04584,0.17843,84.359,0.97
1305,0.04153,0.17367,84.193,0.97
1310,0.03928,0.1669,83.86,0.97
1315,0.03985,0.16871,85.025,0.97
1320,0.04803,0.1747,85.191,0.97
1325,0.09281,0.16406,84.193,0.97
1330,0.03119,0.23703,82.862,0.97
1335,0.07189,0.18282,85.857,0.97
1340,0.01681,0.17983,85.524,0.97
1345,0.03578,0.17722,86.19,0.97
1350,0.01369,0.1769,85.524,0.98
1355,0.04533,0.1754,86.023,0.97
1360,0.0447,0.18688,86.19,0.98
1365,0.03077,0.1772,86.522,0.98
1370,0.05072,0.18018,84.859,0.97
1375,0.08509,0.17604,83.361,0.97
1380,0.03556,0.17489,83.86,0.97
1385,0.06861,0.16618,86.522,0.98
1390,0.05599,0.17197,83.527,0.97
1395,0.08258,0.16791,84.193,0.97
1400,0.032,0.16684,84.193,0.97
1405,0.02934,0.163,85.358,0.97
1410,0.03661,0.17709,84.193,0.97
1415,0.0344,0.17558,84.859,0.97
1420,0.03969,0.1847,84.359,0.97
1425,0.03757,0.20233,84.027,0.97
1430,0.04785,0.18067,84.193,0.97
1435,0.01898,0.17971,85.025,0.97
1440,0.04432,0.16735,85.691,0.97
1445,0.05662,0.1644,85.358,0.97
1450,0.04728,0.15721,86.023,0.97
1455,0.05297,0.22962,83.527,0.97
1460,0.10307,0.22042,84.027,0.97
1465,0.07144,0.21753,84.359,0.97
1470,0.02902,0.20606,84.193,0.97
1475,0.03142,0.21103,81.032,0.96
1480,0.0326,0.21313,83.028,0.97
1485,0.01609,0.21237,83.361,0.97
1490,0.02782,0.22237,82.862,0.97
1495,0.10099,0.23848,83.694,0.97
1500,0.03669,0.20614,84.692,0.97
1505,0.13999,0.17197,85.524,0.97
1510,0.06061,0.18116,86.19,0.98
1515,0.04004,0.1894,85.857,0.97
1520,0.01706,0.17949,85.025,0.97
1525,0.05156,0.17952,85.025,0.97
1530,0.02225,0.19266,85.358,0.97
1535,0.012,0.17379,85.191,0.97
1540,0.02613,0.17641,86.023,0.98
1545,0.017,0.18139,84.526,0.97
1550,0.01136,0.18305,84.859,0.97
1555,0.02869,0.18384,85.857,0.98
1560,0.04631,0.18999,84.526,0.97
1565,0.01748,0.20229,84.027,0.97
1570,0.03773,0.18189,85.524,0.97
1575,0.07606,0.1778,84.526,0.97
1580,0.03076,0.17132,86.19,0.97
1585,0.02146,0.18958,84.193,0.97
1590,0.03901,0.1701,85.857,0.98
1595,0.02988,0.16838,86.855,0.98
1600,0.00724,0.16619,86.689,0.98
1605,0.01891,0.16522,87.854,0.98
1610,0.01168,0.16359,87.854,0.98
